Rank,Freq,Infinitiv,Präsens_ich,Präsens_ich*,Präsens_du,Präsens_du*,"Präsens_er, sie, es",Präteritum_ich,Präteritum_ich*,Partizip II,Partizip II*,Konjunktiv II_ich,Konjunktiv II_ich*,Imperativ Singular,Imperativ Singular*,Imperativ Singular 2,Imperativ Plural,Imperativ Plural*,Hilfsverb,Hilfsverb*,Bild,Bild 1,Bild 2,Bild 3,Bild 4
1,3796784,sein,bin,,bist,,ist,war,,gewesen,,wäre,,sei,,,seid,,sein,,,,,,
2,1618550,haben,habe,,hast,,hat,hatte,,gehabt,,hätte,,habe,hab,,habt,,haben,,,,,,
3,1379496,einen,eine,,einst,,eint,einte,,geeint,,einte,,eine,ein,,eint,,haben,,,,,,
4,948246,werden,werde,,wirst,,wird,wurde,ward,geworden,worden,würde,,werde,,,werdet,,sein,,,,,,
5,713918,können,kann,,kannst,,kann,konnte,,gekonnt,,könnte,,—,,,—,,haben,,,,,,
6,556692,meinen,meine,,meinst,,meint,meinte,,gemeint,,meinte,,meine,,,meint,,haben,,,,,,
7,513384,wollen,will,,willst,,will,wollte,,gewollt,wollen,wollte,,—,,,—,,haben,,,,,,
8,407185,gehen,gehe,,gehst,,geht,ging,,gegangen,,ginge,,geh,gehe,,geht,gehet,sein,,Blender3D NormalWalkCycle.gif|mini|1|Animation einer ''gehenden'' Person,,,,
9,388020,sagen,sage,,sagst,,sagt,sagte,,gesagt,,sagte,,sag,sage,,sagt,,haben,,,,,,
10,384113,sehen,sehe,,siehst,,sieht,sah,,gesehen,sehen,sähe,,siehe,sieh,,seht,,haben,,,,,,
11,376830,machen,mache,,machst,,macht,machte,,gemacht,,machte,,mache,mach,,macht,,haben,,,,,,
12,330438,tun,tue,tu,tust,,tut,tat,,getan,,täte,,tue,tu,,tut,,haben,,,,,,
13,317788,kommen,komme,,kommst,,kommt,kam,,gekommen,,käme,,komm,komme,,kommt,,sein,,,,,,
14,280421,geben,gebe,,gibst,,gibt,gab,,gegeben,,gäbe,,gib,,,gebt,,haben,,,,,,
15,217839,wissen,weiß,,weißt,,weiß,wusste,,gewusst,,wüsste,,wisse,,,wisset,wisst,haben,,,,,,
16,189101,sollen,soll,,sollst,,soll,sollte,,gesollt,sollen,sollte,,—,,,—,,haben,,,,,,
17,181538,denken,denke,,denkst,,denkt,dachte,,gedacht,,dächte,,denk,denke,,denkt,,haben,,,,,,
18,158838,hören,höre,,hörst,,hört,hörte,,gehört,hören,hörte,,hör,höre,,hört,,haben,,His Master's Voice.jpg|mini|1|Er ''hört'' die Stimme seines Herrn.,,,,
19,143704,finden,finde,,findest,,findet,fand,,gefunden,,fände,,finde,,,findet,,haben,,,,,,
20,141488,glauben,glaube,,glaubst,,glaubt,glaubte,,geglaubt,,glaubte,,glaub,glaube,,glaubt,,haben,,,,,,
21,138619,leben,lebe,,lebst,,lebt,lebte,,gelebt,,lebte,,lebe,leb,,lebt,,haben,,,,,,
22,136863,mögen,mag,,magst,,mag,mochte,,gemocht,mögen,möchte,,—,,,—,,haben,,,,,,
23,125268,nehmen,nehme,,nimmst,,nimmt,nahm,,genommen,,nähme,,nimm,,,nehmt,,haben,,,,,,
24,124528,müssen,muss,,musst,,muss,musste,,gemusst,,müsste,,—,,,—,,haben,,,,,,
25,117720,lassen,lasse,,lässt,,lässt,ließ,,gelassen,lassen,ließe,,lass,lasse,,lasst,lasset,haben,,,,,,
26,106835,warten,warte,,wartest,,wartet,wartete,,gewartet,,wartete,,warte,,,wartet,,haben,,,,,,
27,100896,verstehen,verstehe,,verstehst,,versteht,verstand,,verstanden,,verstände,verstünde,verstehe,,,versteht,,haben,,,,,,
28,97391,bringen,bringe,,bringst,,bringt,brachte,,gebracht,,brächte,,bring,bringe,,bringt,,haben,,,,,,
29,91927,sichern,sichere,,sicherst,,sichert,sicherte,,gesichert,,sicherte,,sichere,,,sichert,,haben,,,,,,
